focus_word,corpus,rank,neighbor,cosine,gender_score
의사,social_media,1,擬似,0.763,0.005
의사,social_media,2,議事,0.716,-0.001
의사,social_media,3,醫師,0.706,-0.016
의사,social_media,4,義士,0.705,-0.004
의사,social_media,5,意思,0.699,0.015
의사,social_media,6,疑使,0.605,-0.001
의사,entertainment,1,심정,0.98,-0.029
의사,entertainment,2,반대,0.976,-0.023
의사,entertainment,3,완치,0.976,-0.016
의사,entertainment,4,증후군,0.975,-0.028
의사,entertainment,5,잔소리,0.973,-0.027
의사,entertainment,6,악화,0.973,-0.033
의사,sports,1,솔직한,0.938,0.0
의사,sports,2,상호,0.937,0.007
의사,sports,3,관해,0.93,0.01
의사,sports,4,드린다,0.929,0.011
의사,sports,5,처분,0.925,0.003
의사,sports,6,절차,0.924,0.001
의사,crime,1,추징,0.784,-0.03
의사,crime,2,41억원,0.782,0.006
의사,crime,3,800만원,0.76,-0.023
의사,crime,4,밝히자,0.756,-0.043
의사,crime,5,각각,0.748,-0.007
의사,crime,6,48억원,0.748,-0.018
의사,politics,1,밝힌,0.806,0.067
의사,politics,2,않겠다고,0.804,0.033
의사,politics,3,밝히며,0.789,0.05
의사,politics,4,밝히면서,0.778,0.013
의사,politics,5,않겠다는,0.767,0.044
의사,politics,6,포기,0.765,0.005
의사,news,1,하라,1.0,0.001
의사,news,2,협박,0.999,0.001
의사,news,3,정신,0.999,0.002
의사,news,4,무산,0.999,0.002
의사,news,5,밝혀,0.999,0.001
의사,news,6,대법관,0.999,0.002
의사,encyclopedic,1,귀부,0.696,-0.023
의사,encyclopedic,2,고차원,0.637,-0.064
의사,encyclopedic,3,조치원,0.575,-0.037
의사,encyclopedic,4,동호회,0.575,-0.06
의사,encyclopedic,5,일반화,0.541,-0.077
의사,encyclopedic,6,서식지,0.524,0.017
감독,social_media,1,監督,0.674,0.049
감독,social_media,2,조진규,0.674,0.015
감독,social_media,3,임대웅,0.648,0.016
감독,social_media,4,황동혁,0.643,0.004
감독,social_media,5,변영주,0.632,0.024
감독,social_media,6,베송,0.628,0.001
감독,entertainment,1,장항준,0.91,0.022
감독,entertainment,2,이준익,0.904,0.009
감독,entertainment,3,프랭클,0.903,0.013
감독,entertainment,4,이명세,0.897,0.028
감독,entertainment,5,신우석,0.897,-0.013
감독,entertainment,6,정우,0.897,0.024
감독,sports,1,사령탑,0.768,0.025
감독,sports,2,코치,0.743,0.099
감독,sports,3,박윤정,0.684,0.067
감독,sports,4,이끄는,0.681,0.071
감독,sports,5,램퍼드,0.665,0.055
감독,sports,6,이지훈,0.658,0.021
감독,crime,1,김창민,0.901,0.037
감독,crime,2,영화감독,0.876,0.044
감독,crime,3,정지영,0.845,-0.008
감독,crime,4,김승기,0.819,-0.008
감독,crime,5,외롭지,0.781,0.024
감독,crime,6,다큐멘터리,0.779,-0.019
감독,politics,1,재난,0.85,-0.044
감독,politics,2,지속가능성,0.836,-0.022
감독,politics,3,전자상거래,0.836,0.024
감독,politics,4,사행,0.834,-0.068
감독,politics,5,접근성,0.834,0.001
감독,politics,6,이양,0.831,-0.061
감독,news,1,선수,0.961,0.026
